SMILES,value
NC(=O)CCN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(/C=C/c3ccc(Nc4nc(Nc5ccccc5)nc(N(CCO)CCC(N)=O)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1,1.8575
CCc1ccc(CC)cc1,5.0
O=S(=O)([O-])c1ccccc1/C=C\c1ccc(-c2ccc(/C=C\c3ccccc3S(=O)(=O)[O-])cc2)cc1,3.96666666666667
Cc1ccccc1Cc1ccccc1,1.0
CC(CN=NCC(C)C1=NCCN1)C1=NCCN1,5.1
CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,0.06
CCOP(=O)(CN(CCO)CCO)OCC,0.522
CCOc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N\Nc2ccc(C(N)=O)cc2)C1=O,1.58
Cc1ccc(N=C=O)cc1Cl,0.0905
CC1(C)CC(N)CC(C)(CN)C1,3.69666666666667
O=c1[n-]c(=O)n(Cl)c(=O)n1Cl,0.27
CCC(C)(C)OOC(=O)C(C)(C)C,9.5
C=C(C)C(=O)OCCN(CC)CC,1.8
C1CO[Sb]2OCCO[Sb](O1)OCCO2,5.2
O=C([O-])O,4.88
O=C([O-])CS,2729.0
CN[C@@H](C)[C@H](O)c1ccccc1,5.4
CCCCC(CC)C(=O)OOC(C)(C)C,42.2
O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1,0.0933333333333333
O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)C1c1ccc2cccc(N3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)c2n1,1.04
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Nc2ccccc2)cc1)c64)C(=O)N(c1ccc(N=Nc2ccccc2)cc1)C5=O,5.2
CC(C)CN(CC(C)C)C(=S)SSC(=S)N(CC(C)C)CC(C)C,5.0
CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C,0.05
O=C1CCCCCN1,8.28
CO[Si](CCCNC1CCCCC1)(OC)OC,1.96666666666667
CO[Si](C)(CCCNCCN)OC,5.2
CCCCCCCC[Si](OC)(OC)OC,4.43333333333333
O=C=Nc1cccc2c(N=C=O)cccc12,0.27
COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,4.25
CCOc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,4.25
Cc1cc(O)ccc1C(C)C,1.41
CC(C)(C)C(=O)Cl,2.69
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,5.05
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,3.363
CCCCOC(=O)/C=C\C(=O)OCCCC,5.0
NCCCNC1CCCCC1,7.5
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,2.6
[OH-],5.4
CO[Si](CC(C)CC(C)(C)C)(OC)OC,11.2
CCCCOC(=O)C(C)O,5.14
CN[C@@H](C)[C@@H](O)c1ccccc1,2.0
O=C(c1ccc(F)cc1)c1ccc(F)cc1,5.05
CC(C)(C)c1cc(CCC(=O)OCCCCCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1.7
CC(O)C(=O)N(C)C,5.004
CO[Si](CCCNCCNCCN)(OC)OC,1.49
O=[N+]([O-])[O-],1.1
CN(CCCN)CCCN,0.07
CCO[Si](CC(C)CC(C)(C)C)(OCC)OCC,11.2
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,1.0
CCCCNS(=O)(=O)c1ccccc1,4.066
CC(C)[C@H]1CC[C@@H](C)CC1O,5.289
O=C=NCc1cccc(CN=C=O)c1,0.181
N#CCC(=O)O,1.96666666666667
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,0.2
C=C(C)c1cccc(C(=C)C)c1,0.54
O=c1[nH]c(=O)[nH]c(=O)[nH]1,5.1
O=C(O)CCC(CC(=O)O)(C(=O)O)P(=O)(O)O,1.979
O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,1.65
[O-][Cl+2]([O-])[O-],5.59
O=C=NCC1CCCC(CN=C=O)C1,0.14705
CC(c1ccccc1)c1ccccc1,1.0
CCC(C)CCCC(C)CCCC(C)C,2.19
Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,0.27
CCCC(C)C(=O)OCC,5.967
O=S(=O)([O-])[O-],5.0
OC1CSC(O)CS1,0.479666666666667
CCCCC(CC)CNCC(CC)CCCC,0.91
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,0.04
CCN(CC)c1nc(Nc2ccc(/C=C/c3ccc(Nc4nc(Nc5cc(S(=O)(=O)[O-])ccc5S(=O)(=O)[O-])nc(N(CC)CC)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)nc(Nc2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])n1,1.8575
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,2.2
O=C=Nc1ccc(OP(=S)(Oc2ccc(N=C=O)cc2)Oc2ccc(N=C=O)cc2)cc1,6.159
C/C=C/c1ccc(OC)cc1,5.1
O=S(=O)([O-])c1cc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)ccc1/C=C/c1ccc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)cc1S(=O)(=O)[O-],1.8575
N#CN,1.0
CC(C)(C)C1CCC(OC(=O)Cl)CC1,0.72
CC(C)(C)c1ccc(OC(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C(C)(C)C)c1,0.5
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,5.991
Nc1ccc(N)cc1,0.92
O=CN1CCOCC1,5.319
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)ccc1/C=C/c1ccc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)cc1S(=O)(=O)O,1.8575
CC1OC(=O)C(C)OC1=O,7.94
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0.23
CC(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,2.6
O=C([O-])[O-],3.0
O=[P+](Oc1ccccc1)Oc1ccccc1,6.7
OCCN1CN(CCO)CN(CCO)C1,0.369666666666667
Nc1cccc2cccc(N)c12,0.877
OCCCCC(O)CO,5.07
C1=C\CC/C=C/CC/C=C\CC/1,8.2
O=c1nc[nH]c2ccccc12,5.18
Cc1cc(C)cc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C)cc(C)c2)C6=O)c1,5.2
O=[Cr](=O)([O-])[O-],0.27
O=C([O-])[O-],2.3
C1=CC2CCC1C2,26.59
N=C(N)N,5.385
CC(O)C(=O)O,7.94
CN[C@@H](C)[C@H](O)c1ccccc1,5.2
O=[N+]([O-])O,9.063
COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N,1.04
CCO[Si](CCCNCCN)(OCC)OCC,1.14
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,5.2
NCCc1ccc(O)cc1,5.0
O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,0.440333333333333
CC(C)=CCCC(C)CC#N,4.9
Cc1cc(N/N=C2\C(=O)C=Cc3ccccc32)c(S(=O)(=O)[O-])cc1Cl,5.24
CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,0.4
COC(=N)N,2.133
CC(=O)C(N=Nc1cc(C(=O)Nc2cc(Cl)ccc2C)ccc1Cl)C(=O)Nc1cc(C)c(NC(=O)C(N=Nc2cc(C(=O)Nc3cc(Cl)ccc3C)ccc2Cl)C(C)=O)cc1C,1.7
Cc1ccc(N/N=C2\C(=O)C(C(=O)[O-])=Cc3ccccc32)c(S(=O)(=O)[O-])c1,4.76
COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N,1.04
CC1(C)CNCC(C)(C)C1OC(=O)CCCCCCCCC(=O)OC1C(C)(C)CNCC1(C)C,0.5
COCCC(=O)N(C)C,5.0
CCCCCC(CCC)COC(=O)c1ccccc1C(=O)OCC(CCC)CCCCC,12.75
O=S(=O)([O-])c1cc(Cl)c(Cl)cc1Cl,5.15
CCCC(O)CO,7.015
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,1.86
CCCCC(CC)CNS(=O)(=O)c1ccc(N)cc1,1.16
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,4.2125
CC(C)N(C(=O)CO)c1ccc(F)cc1,6.8
COc1ccc(N(C)N=CC2=[N+](C)c3ccccc3C2(C)C)cc1,0.076
O=CC=O,2.44
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,8.67
O=C1CCCCCN1C(=O)Nc1ccc(Cc2ccc(NC(=O)N3CCCCCC3=O)cc2)cc1,5.0
Cc1nc(N)nc(N)n1,2.031
CC(=O)[O-],1.1
CC(=O)[O-],4.5
CCCCCCCCCCCCCCCC,5.266
CCCCOCCOC(=O)c1ccccc1,5.39
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C,4.25
O=C(O)c1ccc2c(c1)C(=O)OC2=O,2.33
CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C)C5=O,0.41
CC(=O)OOC(C)(C)C,6.1
O=C([O-])[O-],2.0
CCCCNC(=O)OCC#CI,6.89
OC[P+](CO)(CO)CO,0.517
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,36.0
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.23
CC(=O)C(N=Nc1cc(C(=O)Nc2cccc(Cl)c2C)ccc1Cl)C(=O)Nc1cc(Cl)c(NC(=O)C(N=Nc2cc(C(=O)Nc3cccc(Cl)c3C)ccc2Cl)C(C)=O)cc1C,1.7
Cn1sc(Cl)cc1=O,1.345
NCCCNCCCN,0.0333333333333333
C[N+](C)(C)Cc1ccccc1,1.14
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,7.967
O=C(O)CCS,1.818
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.94
Cn1c(=O)c2[nH]cnc2n(C)c1=O,6.7
C=C(C)C(=O)OC(C)(C)C,10.17
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,0.66
O=C([O-])[O-],5.2185
O=C=Nc1ccc(Cc2ccccc2N=C=O)cc1,0.516515
Cc1cc(O)ccc1Cl,2.91033333333333
CCCCCCCCCCCCCCCCCC,5.991
N=C(N)N,9.063
O=P(Cl)(Cl)Cl,0.303
Nc1cccc(N)c1,3.2
CNC(N)=O,5.7
O=C([O-])[O-],5.35
Nc1ccc(N=Nc2ccccc2)cc1,2.8
Nc1cccc(Cl)c1Cl,8.047
Nc1ncn[nH]1,0.439
ClCc1ccccc1Cl,2.8
C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,4.7
C=Cc1ccc(O)c(C=C)c1,4.92
O=[N+]([O-])c1cc(Cl)cc(Cl)c1,0.3
CC(=O)[O-],5.6
CCCCCCC(C)OC(=O)CCCCC(=O)OC(C)CCCCCC,5.7
NC(N)=S,0.195
C=CCCCCCCCCCC,4.8
CC(O)C[N+](C)(C)C,7.5
CCON,171.435
O=C1C=Cc2cc(S(=O)(=O)[O-])ccc2/C1=N\Nc1ccc(N=Nc2ccc(Nc3ccccc3)c(S(=O)(=O)[O-])c2)c2ccccc12,5.2
O=COCCOC=O,5.05
CCCCCCCCCCCCCCC,5.991
CCCCCCCCCCCCCCCCC,5.991
CSCCC(N)C(=O)O,5.25
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,4.25
Clc1nc(Cl)nc(Cl)n1,0.173666666666667
CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1,0.46
Cc1ccc(N2C(=O)C=CC2=O)cc1N1C(=O)C=CC1=O,0.0786666666666667
Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)[O-])cc4c(c3N)C(=O)/C(=N\Nc3ccc(N=Nc5ccc(N)cc5N)cc3)C(S(=O)(=O)[O-])=C4)cc2)c(N)c1,5.0
CC1(C)CC2(CC(C)(C)N1)OC1(CCCCCCCCCCC1)NC2=O,1.67
CN1CCCC1c1cccnc1,4.42
COc1cc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(OC)c2)ccc1N=NC(C(C)=O)C(=O)Nc1ccccc1,4.25
CC1=NN(c2cccc(S(=O)(=O)[O-])c2)C(=O)C1N=Nc1cc(Cl)c(Cl)cc1S(=O)(=O)[O-],5.5
O=P([O-])([O-])[O-],7.69
Cc1ccc(S(=O)(=O)[O-])cc1,6.41
Clc1ccc(CNC2CCCC2)cc1,1.7365
Nc1nc(N)nc(N)n1,5.19
O=C([O-])CCC(CC(=O)O)(C(=O)[O-])P(=O)([O-])[O-],1.979
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1.951
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccc1)c64)C(=O)N(CCc1ccccc1)C5=O,5.2
C=C1CC(=O)O1,0.922666666666667
C=CCOC(=O)COCCC(C)C,0.463333333333333
O=S(=O)([O-])c1cccc(N=Nc2ccc(N=Nc3ccc(N(CCO)CCO)cc3)c3ccccc23)c1,0.63
CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COCCCCCCC,4.06
CC(O)CN(CC(C)O)c1nc(Nc2ccc(S(=O)(=O)[O-])cc2)nc(Nc2ccc(/C=C/c3ccc(Nc4nc(Nc5ccc(S(=O)(=O)[O-])cc5)nc(N(CC(C)O)CC(C)O)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1,1.8575
CCc1cc(N/N=C2/C(=O)C=Cc3ccccc32)c(S(=O)(=O)[O-])cc1Cl,5.24
O=C(O)CS,1.48766666666667
O=c1[nH]c(=O)[nH]c(=O)[nH]1,5.25
C=CCCCCCCCC,4.8
CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O,1.1
Cc1ccc(N(C)N=CC2=[N+](C)c3ccccc3C2(C)C)cc1,0.382
Cc1ccc(C(=O)OCCCl)cc1N/N=C1/C(=O)C(C(=O)Nc2cc(C)c(NC(=O)C3=Cc4ccccc4/C(=N/Nc4c(C)cccc4C(=O)OCCCl)C3=O)cc2C)=Cc2ccccc21,1.7
CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,0.25
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.25
OCC#CCO,5.47
CCCCCCCCCC(=O)O,4.06
CCCCC(CC)C(=O)OCC(COCC(COC(=O)CCCCCC(C)C)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC)(COC(=O)CCCCCC(C)C)COC(=O)CCCCCC(C)C,5.1
COC(=O)c1ccc(C(=O)OC)c(N=NC(C(C)=O)C(=O)Nc2ccc(NC(=O)C(N=Nc3cc(C(=O)OC)ccc3C(=O)OC)C(C)=O)cc2)c1,1.7
OC1CCCCC1,3.6
CCCCCCCCCC(=O)O,101.458
CC1CC(CC2CCC(N)C(C)C2)CCC1N,0.42
Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1,4.9
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4.9
C=CCCCCCCCCC(=O)OCC,5.15
CC(C)C1CCCCC1,5.04
Cc1cc(O)c(C)c(C)c1O,1.46666666666667
CC1(C)CC(=O)CC(C)(C#N)C1,1.31333333333333
CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,5.01
CN(c1ccc2c(c1)C=C(S(=O)(=O)[O-])/C(=N/Nc1ccc3c(S(=O)(=O)[O-])cccc3c1S(=O)(=O)[O-])C2=O)c1nc(N)nc(Cl)n1,5.0
CCCCCl,7.74
CCCCCCCCC(=O)O,4.06
O=S(=O)([O-])c1cc([O-])c(N=Nc2ccc3cccc(S(=O)(=O)[O-])c3c2[O-])c2ccccc12,2.8
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,1.82
CC(O)C(=O)[O-],7.94
